{1 JetEta 3 Rho JetPt JetA max(0.0001,1-(z/y)*[4]*([1]*(x/[3]-[0])*(1.+[2]*log(y/15.)))) Correction L1FastJet}
   0.696   0.783       11      0          70       8        6500       0          10      2.796241783       0.45891667   -0.08920816951	     1.0286726494    1.0852711317
   0.783   0.879       11      0          70       8        6500       0          10      2.756552132     0.4531884569    -0.1018566789	     1.0286726494    1.0778316913
   0.879   0.957       11      0          70       8        6500       0          10      2.838194324     0.4494045941    -0.1026494698	     1.0286726494    1.0628617865
   0.957   1.044       11      0          70       8        6500       0          10      2.743867039     0.4540559251    -0.1072541901	     1.0286726494    1.066122618
   1.044   1.131       11      0          70       8        6500       0          10        2.6485231     0.4665483326    -0.1369618538	     1.0286726494    1.0620540383
   1.131   1.218       11      0          70       8        6500       0          10       2.68705196     0.4725747558    -0.1684562977	     1.0286726494    1.0567582484
   1.218   1.305       11      0          70       8        6500       0          10         2.671502     0.4734577896    -0.1846847121	     1.0286726494    1.0507972244
   1.305   1.392       11      0          70       8        6500       0          10      2.473035422     0.4771554295    -0.2157807017	     1.0286726494    1.0469966875
   1.392   1.479       11      0          70       8        6500       0          10      2.384408078     0.4856678359    -0.2555542645	     1.0286726494    1.0438517525
   1.479   1.566       11      0          70       8        6500       0          10      2.366164633     0.4729819785    -0.2605498365	     1.0286726494    1.0414210521
   1.566   1.653       11      0          70       8        6500       0          10      2.455614922      0.446673172    -0.3112925756	     1.0286726494    1.0410639077
   1.653    1.74       11      0          70       8        6500       0          10      2.495620598     0.4104747647    -0.3718335924	     1.0286726494    1.0389486154
    1.74    1.83       11      0          70       8        6500       0          10      2.843062709     0.3746567572    -0.4276182981	     1.0286726494    1.0233057537
    1.83    1.93       11      0          70       8        6500       0          10      2.992904088     0.3354406708    -0.5208254762	     1.0286726494    1.0230286535
    1.93   2.043       11      0          70       8        6500       0          10      3.253547379     0.3166889738    -0.6263815821	     1.0286726494    1.0155949976
   2.043   2.172       11      0          70       8        6500       0          10      2.856984781     0.3172634338    -0.6193560919	     1.0286726494    0.9976222946
   2.172   2.322       11      0          70       8        6500       0          10      2.626262654     0.3774524925    -0.5198083001	     1.0286726494    0.95935952971
   2.322     2.5       11      0          70       8        6500       0          10     0.8651780984     0.4415509869    -0.1328441636	     1.0286726494    0.91998417804
     2.5    2.65       11      0          70       8        6500       0          10      1.444113645     0.7640049346    0.02526624944	     1.0286726494    0.92894280834
    2.65   2.853       11      0          70       8        6500       0          10      2.651677654     0.9283592683   -0.01777660281	     1.0286726494    0.99442493697
   2.853   2.964       11      0          70       8        6500       0          10      2.533572405     0.9136105927  -0.001760278666	     1.0286726494    1.0693907145
   2.964   3.139       11      0          70       8        6500       0          10      1.532143499     0.9027544715    0.03331490849	     1.0286726494    1.1489960136
   3.139   3.314       11      0          70       8        6500       0          10      1.373778704     0.8040063966    0.04168903559	     1.0286726494    1.2272484661
   3.314   3.489       11      0          70       8        6500       0          10      1.343424931     0.9127065646    0.03969276485	     1.0286726494    1.1787445809
   3.489   3.664       11      0          70       8        6500       0          10      1.334852931     0.9969436365    0.03851060817	     1.0286726494    1.1062425473
   3.664   3.839       11      0          70       8        6500       0          10       1.42758486      1.035409661    0.03466670521	     1.0286726494    1.0366579585
   3.839   4.013       11      0          70       8        6500       0          10      1.371109443      1.051770892    0.03306876506	     1.0286726494    0.97183155557
   4.013   4.191       11      0          70       8        6500       0          10      1.417879581      1.035103762    0.03501266301	     1.0286726494    0.92857912093
   4.191   4.363       11      0          70       8        6500       0          10      1.400977019     0.9756899775    0.02837795751	     1.0286726494    0.89947078156
   4.363   4.538       11      0          70       8        6500       0          10      1.408651021     0.8621803108    0.04581651342	     1.0286726494    0.87650373178
   4.538   4.716       11      0          70       8        6500       0          10      1.367715937     0.6886109868    0.09466063461	     1.0286726494    0.8706076747
   4.716   4.889       11      0          70       8        6500       0          10       1.74559169     0.7191178504    0.07650382622	     1.0286726494    0.87670102345
   4.889   5.191       11      0          70       8        6500       0          10      1.234418537     0.7785794116    0.07010119382	     1.0286726494    0.89549786962
